id,name,min_ingredients,max_ingredients,family_pattern,flavor_pattern,multiplier,tier,chance,hand_size,pick_size,basket,chefs,description,occurrences,original_chance
1,Tasting Flight,3,3,all_different,all_different,1.5,Common,0.63839,8,5,,,A simple but well-balanced tasting flight of different families and flavors.,63839,0.6376
2,Signature Trio,3,3,all_same,all_different,3.5,Rare,0.11713,8,5,,,A unique dish expressing one family in multiple taste variations.,11713,0.1166
10,Plain Trio,3,3,all_same,all_same,4.6,Rare,0.06778,8,5,,,"Three ingredients from the same family and taste, yielding a flat but serviceable plate.",6778,0.0686
3,Chef's Plate,4,4,all_same,mixed,5.1,Rare,0.05605,8,5,,,A crafted composition from a single family with subtle flavor diversity.,5605,0.0551
4,Family Quartet,4,4,all_different,mixed,2.1,Uncommon,0.329,8,5,,,Four distinct families coming together with varied tastes for a rich special.,32900,0.3287
5,Fusion Quartet,4,4,balanced,all_different,2.4,Uncommon,0.25424,8,5,,,A fusion of two core families and distinct flavors blending cultures and ideas.,25424,0.2552
6,Symphony,4,4,all_same,all_different,12.0,Legendary,0.00794,8,5,,,"A perfect flavor ensemble from one family, balanced across all taste tones.",794,0.008
11,Plain Quartet,4,4,all_same,all_same,12.0,Legendary,0.00374,8,5,,,"Four matching ingredients that play it safe, resulting in a muted experience.",374,0.0038
7,Grand Feast,5,5,all_different,all_different,12.0,Legendary,0.00113,8,5,,,A grand abundance of diverse ingredients and flavors from all families.,113,0.0011
8,Grand Course,5,5,all_same,mixed,12.0,Legendary,0.0049,8,5,,,"A refined centerpiece dish, unified in family but layered in taste.",490,0.0052
9,Masterpiece,5,5,all_same,all_different,12.0,Legendary,0.0001,8,5,,,"The ultimate creation — one family, every flavor, pure culinary art.",10,0.0001
